Neighbourh, locationId
Ledbury - Heron Gate - Ridgemont - Elmwood,0
Billings Bridge - Alta Vista,1
Hunt Club Upper -Blossom Park - Timbermill,2
South Keys - Heron Gate - Greenboro West,3
Bells Corners West,4
Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,5
Crestview - Meadowlands,6
Beacon Hill South - Cardinal Heights,7
Barrhaven,8
Beaverbrook,9
Katimavik - Hazeldean,10
Bells Corners East,11
New Barrhaven - New Development - Stonebridge,12
Braemar Park - Bel Air Heights - Copeland Park,13
Briar Green - Leslie Park,14
Greenbelt West,15
Centretown,16
West Centertown,17
Carlington,18
Laurentian,19
Carleton Heights - Rideauview,20
Civic Hospital-Central Park,21
Woodroffe - Lincoln Heights,22
Carlingwood West - Glabar Park - McKellar Heights,23
Orleans Village - Chateauneuf,24
Whitehaven - Queensway Terrace North,25
Carson Grove - Carson Meadows,26
Cummings,27
CFB Rockcliffe-NRC,28
Orleans Chapel Hill,29
Cityview - Skyline - Fisher Heights,30
Centrepointe,31
Glebe - Dows Lake,32
Emerald Woods - Sawmill Creek,33
Greenboro East,34
Hawthorne Meadows - Sheffield Glen,35
Ottawa South,36
Hunt Club East - Western Community,37
Iris,38
Hintonburg - Mechanicsville,39
Island Park,40
Westboro,41
Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,42
Hunt Club - Ottawa Airport,43
Hunt Club Woods - Quintarra - Revelstoke,44
Lindenlea - New Edinburgh,45
Lowertown,46
Sandy Hill - Ottawa East,47
Tanglewood,48
Crystal Bay - Lakeview Park,49
Greenbelt - Shirleys Bay,50
East Industrial,51
Elmvale - Eastway - Riverview - Riverview Park West,52
Orleans Chapel Hill South,53
Rockcliffe - Manor Park,54
Byward Market,55
Qualicum - Redwood Park,56
Orleans Queenswood Heights,57
Orleans Central,58
Orleans Avalon - Notting Gate - Fallingbrook - Gardenway South,59
Riverside Park,60
Playfair Park - Lynda Park - Guildwood Estates,61
Overbrook - McArthur,62
Vanier South,63
Glen Cairn - Kanata South Business Park,64
Trend-Arlington,65
Vanier North,66
Merivale Gardens - Grenfell Glen - Pineglen - Country Place,67
Orleans North West,68
Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,69
Beechwood Cemetery,70
Orleans Industrial,71
Stittsville,72
Rothwell Heights - Beacon Hill North,73
Bridlewood - Emerald Meadows,74
Orleans Chatelaine Village,75
Riverside South - Leitrim,76
Blackburn Hamlet,77
Greenbelt NorthEast,78
Chapman Mills - Rideau Crest - Davidson Heights,79
Greely,80
Britannia Village,81
Richmond,82
North Gower,83
Carleton University,84
Cumberland,85
Fitzroy,86
Galetta,87
Lebreton Development,88
Hunt Club South Industrial,89
Ottawa East,90
Manotick West,91
Metcalfe,92
Russell - Edwards,93
Vars,94
Navan - Carlsbad Springs,95
Bayshore,96
Sarsfield,97
Dunrobin,98
Carp,99
Carp Ridge,100
Constance Bay,101
Kinburn,102
Manotick East,103
Osgoode,104
Munster,105
Pierces Corners,106
Corkery,107
Hunt Club Park,108
Greenbelt - Rideau River West,109
Pineview,110
Greenbelt South,111
Greenbelt SouthEast,112
